,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566444659664,0.0,0.0,0.0,0.0,0.0,0.0,-1
1,2,1566444659675,0.0,0.0,0.0,0.19325997,2.9836638,8.797503,-1
2,3,1566444659685,-0.2367,-1.0232999,-0.7489,0.35169864,3.0208602000000004,8.947036,-1
3,4,1566444659695,-0.0132,-0.10229999599999999,-0.3044,0.43638635,3.1252758999999997,9.202708,-1
4,5,1566444659705,-0.0036,0.033099998,-0.0409,0.46623728,3.2863385999999997,9.385069,-1
5,6,1566444659715,-0.0112,0.1627,0.087,0.49286076,3.3769543,9.41538,-1
6,7,1566444659726,0.0084,0.22809999,0.1416,0.5957157,3.4256047999999995,9.44254,-1
7,8,1566444659736,0.0874,0.25239998,0.1542,0.6018161,3.4272327000000007,9.442263,-1
8,9,1566444659746,0.083299994,0.23799999,0.1565,0.51919705,3.4156065000000004,9.373884,-1
9,10,1566444659756,-0.0116,0.23199999999999998,0.100099996,0.45959097,3.4156449999999996,9.324515,-1
10,11,1566444659767,-0.0894,0.23369999,0.034199997999999995,0.42661800000000005,3.4714966,9.1837845,-1
11,12,1566444659777,-0.024899999,0.17889999,-0.0831,0.47587153,3.5513672999999994,9.119399000000001,-1
12,13,1566444659787,-0.0047999997999999995,0.13059999,-0.033299997000000005,0.47112143,3.6230593,9.13183,-1
13,14,1566444659797,0.0199,0.2342,0.030599998,0.49977523,3.7716815,9.216105,-1
14,15,1566444659807,0.0517,0.30589998,0.1213,0.5258337,3.8296117999999995,9.272341,-1
15,16,1566444659818,0.0517,0.30589998,0.1213,0.49038997,3.890664,9.394694,-1
16,17,1566444659828,0.0229,0.3859,0.2911,0.49088797,3.9156115,9.45227,-1
17,18,1566444659838,0.1373,0.43089998,0.42029998,0.6334866,3.9708123,9.597253,-1
18,19,1566444659848,0.17109999,0.4752,0.5009,0.6424409000000001,4.0031624,9.645807000000001,-1
19,20,1566444659858,0.1161,0.5475,0.5624,0.5907358,4.094698,9.724635000000001,-1
20,21,1566444659868,0.1012,0.5796,0.67329997,0.5925074,4.1345468,9.814781,-1
21,22,1566444659878,0.0297,0.6198,0.70629996,0.48269979999999996,4.1980699999999995,9.841078999999999,-1
22,23,1566444659889,-0.106,0.7452,0.6422,0.3748458,4.312579599999999,9.774999000000001,-1
23,24,1566444659899,-0.081199996,1.004,0.6285,0.40899667,4.649597,9.748711,-1
24,25,1566444659909,-0.0846,1.2973,0.6166,0.35397795,5.055874,9.724539,-1
25,26,1566444659919,-0.07809999599999999,1.6341,0.5482,0.42103472,5.3335824,9.649649,-1
26,27,1566444659929,0.064399995,2.0338,0.60969996,0.5627523,5.8419957,9.759044,-1
27,28,1566444659939,0.0761,2.408,0.7425,0.52456,6.1964717,9.835878999999998,-1
28,29,1566444659949,0.0862,2.7466,0.78,0.6041337,6.639667,9.809503999999999,-1
29,30,1566444659959,0.2333,3.0686998,0.7226,0.744319,6.9343259999999995,9.738482000000001,-1
30,31,1566444659969,0.3964,3.3358,0.70739996,0.93732995,7.3122463,9.735159,-1
31,32,1566444659980,0.6107,3.5879998,0.8032,1.127056,7.5529017000000005,9.820383999999999,-1
32,33,1566444659990,0.88479996,3.7670999,1.0392,1.4520546,7.7988534,10.120175,-1
33,34,1566444660000,1.0246998999999999,3.8051998999999994,1.3564,1.5796752,7.862874499999999,10.350594000000001,-1
34,35,1566444660010,1.0955,3.6639,1.6559999,1.6890613999999997,7.7209845,10.628733,-1
35,36,1566444660020,1.1518999,3.4022,1.8593998999999999,1.7317259999999999,7.554741,10.7623005,-1
36,37,1566444660030,1.0799999,3.0988,2.0446,1.6198115,7.2724833,10.90804,-1
37,38,1566444660040,0.9389,2.7642999,2.1720998,1.5046983999999999,7.0791183,10.951595,-1
38,39,1566444660050,0.8172,2.3894,2.1533,1.3439037,6.67265,10.804946000000001,-1
39,40,1566444660060,0.70629996,1.8966,1.9779999,1.2601162000000001,6.329149,10.620956,-1
40,41,1566444660070,0.50699997,1.3261,1.7242,0.95080453,5.758993599999999,10.278939999999999,-1
41,42,1566444660080,0.3127,0.79649997,1.5192,0.77027214,5.352343,10.076514,-1
42,43,1566444660090,0.14800000000000002,0.259,1.2945,0.5559049,4.873685,9.7716465,-1
43,44,1566444660100,0.0279,-0.1292,1.1386,0.48040137,4.652566,9.662673,-1
44,45,1566444660110,0.046499997,-0.3972,1.1492,0.50166184,4.442949,9.696565,-1
45,46,1566444660120,0.0639,-0.62329996,1.3263,0.5024184,4.3091702000000005,9.813861,-1
46,47,1566444660130,0.0637,-0.95449996,1.4638,0.47593856,3.9601437999999995,9.922423,-1
47,48,1566444660140,-0.0169,-1.3427,1.5616,0.39810786,3.6867163,9.953683,-1
48,49,1566444660150,-0.17369999,-1.788,1.6198,0.15958789999999998,3.2251334,9.941453,-1
49,50,1566444660160,-0.37669998,-2.1826,1.5597,-0.01685518,2.9882703,9.821044,-1
50,51,1566444660171,-0.70409995,-2.5561,1.3519999999999999,-0.38168362,2.5806715000000002,9.455746000000001,-1
51,52,1566444660181,-0.8523,-2.9277,1.0063,-0.45644978,2.2899678,9.0157585,-1
52,53,1566444660191,-0.8132,-3.1436,0.6816,-0.39838558,2.2361557,8.709914,-1
53,54,1566444660201,-0.6868,-3.23,0.3168,-0.19006132,2.2700193,8.314977,-1
54,55,1566444660211,-0.484,-3.2640998,0.07809999599999999,-0.04959828,2.2130373,8.108156,-1
55,56,1566444660221,-0.3295,-3.4018998,-0.1335,0.11819695,2.1695203999999997,7.7992363,-1
56,57,1566444660231,-0.2604,-3.4366999,-0.35799998,0.048027687,2.1800740000000003,7.578874000000001,-1
57,58,1566444660241,-0.3746,-3.4856,-0.62549996,-0.13012007,2.0746236000000002,7.2468557,-1
58,59,1566444660251,-0.4957,-3.6755,-0.8285,-0.22837812,1.9177843,7.1060963,-1
59,60,1566444660262,-0.5388,-3.8792,-0.9863,-0.21249019,1.7671411,6.871263000000001,-1
60,61,1566444660272,-0.5251,-3.9805998999999996,-1.1862,-0.23930526,1.690565,6.716291,-1
61,62,1566444660282,-0.4949,-4.1479,-1.3386999,-0.10710701,1.486378,6.553629400000001,-1
62,63,1566444660292,-0.2924,-4.3429,-1.4432,0.039379828,1.3493625,6.396014,-1
63,64,1566444660302,-0.1515,-4.5365,-1.6958,0.20961714,1.1677958000000002,6.1099453,-1
64,65,1566444660312,-0.0325,-4.6977,-1.8424,0.278484,0.99484825,6.0269337,-1
65,66,1566444660322,-0.07279999599999999,-4.9818,-1.9237,0.1315566,0.61894906,5.9960580000000006,-1
66,67,1566444660332,-0.2421,-5.348,-1.8524,-0.06119580000000001,0.3163411,6.085687,-1
67,68,1566444660342,-0.53999996,-5.7268996,-1.7666998999999999,-0.42383116,-0.15324806,6.2811975,-1
68,69,1566444660353,-0.76,-6.0596,-1.5389,-0.52747136,-0.37006694,6.4896755,-1
69,70,1566444660363,-0.86539996,-6.2215,-1.2845,-0.66256183,-0.5027249,6.8045993000000005,-1
70,71,1566444660373,-0.99469995,-6.2827997,-1.0906,-0.6771377,-0.61056936,6.988253599999999,-1
71,72,1566444660383,-0.97859997,-6.3624,-0.9465,-0.5674640999999999,-0.69750756,7.0068035,-1
