,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566439313842,0.100499995,-0.0484,-0.8666,0.5921052,5.2853055,6.845099,-1
1,2,1566439313852,0.100499995,-0.0484,-0.8666,2.0767019,1.6519321,12.093611,-1
2,3,1566439313863,0.47399998,0.33299999999999996,2.5154998,2.331464,1.568116,11.992097,-1
3,4,1566439313873,0.70989996,0.23359999,1.6829,2.5126956000000003,1.5343098999999998,10.784413,-1
4,5,1566439313883,0.3992,0.1178,0.7967,2.0020506,1.1257344,10.043178,-1
5,6,1566439313894,-0.17819999,-0.4992,0.2857,1.6020465,0.677358,9.675572,-1
6,7,1566439313904,-0.9313,-1.0304999,0.3211,0.9595482,0.823682,10.021171,-1
7,8,1566439313914,-1.9650999,-1.365,3.2124,0.04600698,-0.30855516,9.383882,-1
8,9,1566439313925,-2.8660997999999998,-2.1485,-0.6333,-0.99445564,-0.8114428000000001,8.449664,-1
9,10,1566439313935,-2.7958,-2.2426,-1.7299999,-0.45531009999999994,-0.629541,6.9479637,-1
10,11,1566439313945,-1.3047999,-1.6272999,-3.2912998,1.7045088,-0.4231608,6.206068,-1
11,12,1566439313955,0.76669997,-1.3519999999999999,-2.8516998,4.1616874,0.3478009,8.523636,-1
12,13,1566439313966,2.6155,-0.4797,-0.7335,5.377013,0.66997427,9.51021,-1
13,14,1566439313976,3.9875,-0.0787,0.0025,6.7956734,0.738209,10.573608,-1
14,15,1566439313986,5.0889,0.0883,2.5943,6.782716000000001,0.36049974,11.891186,-1
15,16,1566439313996,4.6151,-0.6329,1.0498999,6.1931294999999995,-1.1880891000000002,8.617632,-1
16,17,1566439314007,3.7359998,-1.9136,-1.2024,5.408128,-1.8086566000000002,7.859091800000001,-1
17,18,1566439314017,2.7108998,-2.3962998,-2.1527998,4.566231,-2.0531523000000003,6.598458,-1
18,19,1566439314027,1.6195998999999999,-2.3065,-2.8227,3.6721212999999997,-1.8031307,7.2498918,-1
19,20,1566439314037,0.6592,-1.8853999,-2.0862,4.1370273,-0.88581634,7.691813499999999,-1
20,21,1566439314048,1.3488,-0.4745,-1.5324,5.859234,1.0804267,7.9996886,-1
21,22,1566439314058,2.5537,1.1614,-1.245,6.053595,1.8496741,8.993043,-1
22,23,1566439314068,2.4626,2.065,0.1153,5.5834126,1.6921451,10.746383999999999,-1
23,24,1566439314078,1.8774998999999999,1.8756,1.6595,5.192046599999999,1.3181804,11.239503,-1
24,25,1566439314089,1.2821,1.4580000000000002,2.323,4.5297336999999995,1.0017532,12.340261,-1
25,26,1566439314099,0.6651,1.209,3.3084998,4.155932,1.1377534,12.851472,-1
26,27,1566439314109,0.57629997,1.5762,3.1192,4.5264297,1.4880252,12.110533,-1
27,28,1566439314119,0.7514,1.7117,1.3333,4.593161,1.7101113000000001,10.020356,-1
28,29,1566439314130,0.7514,1.7117,1.3333,3.7983723,1.3910121000000002,9.438039,-1
29,30,1566439314140,-1.2059,0.70129997,0.64169997,2.5121305,1.0328681,9.5984125,-1
30,31,1566439314150,-2.1941,0.5287,0.91599995,1.7268226999999998,1.0509203999999999,9.910204,-1
31,32,1566439314160,-1.4577999,0.7909,1.7886,2.6645548,1.5192838,10.983103999999999,-1
32,33,1566439314171,0.088199995,0.4256,2.3265,3.65427,1.2846808,11.425524000000001,-1
33,34,1566439314181,1.5066998999999999,-0.6326,2.1511,4.8354735,0.31676245,11.461915,-1
34,35,1566439314192,1.9182999,-1.4018999,2.1244,4.4054839999999995,-0.54285175,11.015779499999999,-1
