,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566439374554,-1.198,-1.9668,-0.40969998,7.719786999999999,0.91169286,-1.0685035,-1
1,2,1566439374564,-1.5712,-3.0351,-1.16,-2.2763880000000003,-0.6802789,9.809053,-1
2,3,1566439374574,-0.0072999996999999995,-0.0037999998,0.030399999,-2.2245293,-1.2726523,9.344292,-1
3,4,1566439374584,0.3667,-0.0543,-0.6990000000000001,-2.1840005000000002,-1.5044971999999999,8.227061,-1
4,5,1566439374595,0.9756,-0.0253,-4.0098,-2.3704991,-0.9847256,7.890828999999999,-1
5,6,1566439374605,-0.5076,0.5816,-0.7976,-2.8491766,-0.17040011,8.742916000000001,-1
6,7,1566439374616,-0.607,1.1236,-0.5852,-3.4312646,0.07815632,9.587800999999999,-1
7,8,1566439374626,-1.1527,1.2303,-0.0459,-3.194794,0.36158192,9.379294999999999,-1
8,9,1566439374636,-0.7141,1.6690999,0.010199999,-2.6315055,0.8544427,9.402787,-1
9,10,1566439374647,-0.3705,1.8998,-0.1986,-2.187697,0.84241426,8.81793,-1
10,11,1566439374656,-0.3136,0.6605,-1.6236999,-2.3539312000000003,-1.1207928999999999,7.9353036999999995,-1
11,12,1566439374666,-0.019199999,0.16589999,-1.6882,-0.5924404000000001,0.6719949000000001,8.277167,-1
