,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566439333685,-0.14549999,-0.0098,-0.41979998,-0.2942474,2.2472072,9.186389,-1
1,2,1566439333695,0.12799999,-0.2021,-0.7377,-1.3377075,2.2914426,9.194175,-1
2,3,1566439333706,0.35979998,-0.29909998,0.0289,-1.166934,2.2955606,9.74691,-1
3,4,1566439333717,0.44889998,-0.24599999,0.5426,-1.1344206000000001,2.3679419999999998,9.971122,-1
4,5,1566439333727,0.2566,-0.0699,0.54789996,-1.1535360000000001,2.401576,9.861458,-1
5,6,1566439333737,0.1873,-0.0208,0.34600000000000003,-1.1534497,2.4476116,9.548114,-1
6,7,1566439333748,0.15429999,-0.0053,0.085999995,-1.2384151,2.3459822999999997,9.396399,-1
7,8,1566439333758,0.0332,-0.1134,-0.0177,-1.3204501,2.2868168,9.534956,-1
8,9,1566439333769,-0.0823,-0.1898,0.1546,-1.3021871,2.2555296,9.653938,-1
9,10,1566439333779,-0.079399996,-0.2092,0.17549999,-1.3285905,2.2195972999999998,9.5879345,-1
10,11,1566439333790,-0.091699995,-0.104899995,-0.0725,-1.3778151,2.2428114,9.372361,-1
11,12,1566439333800,-0.063099995,-0.0526,-0.3159,-1.3521206000000001,2.2934537,9.084923,-1
12,13,1566439333810,-0.063099995,-0.0526,-0.3159,-1.2649622,2.3055494,8.965319000000001,-1
13,14,1566439333820,0.21419999,0.044099998,-0.5566,-1.0527879999999998,2.4238417,8.851249000000001,-1
14,15,1566439333831,0.3674,0.1068,-0.60469997,-0.9475388000000001,2.4763994,8.8306675,-1
15,16,1566439333841,0.36789998,0.1418,-0.3597,-0.94024134,2.514046,9.134502000000001,-1
16,17,1566439333851,0.2654,0.089999996,-0.1256,-1.0199108000000001,2.4696476,9.312592,-1
17,18,1566439333862,0.122499995,-0.0105,-0.08779999599999999,-1.182027,2.3290987000000003,9.350182,-1
18,19,1566439333872,0.0002,-0.11109999599999999,-0.2068,-1.2923613999999999,2.2602606,9.183975,-1
19,20,1566439333883,-0.0821,-0.1424,-0.31599998,-1.3289065,2.2227959999999998,9.126994,-1
20,21,1566439333893,-0.077599995,-0.1709,-0.17109999,-1.3163896000000002,2.188923,9.372292999999999,-1
21,22,1566439333904,-0.08339999599999999,-0.19559999,0.0414,-1.2989788999999998,2.1870743999999998,9.519345,-1
22,23,1566439333914,-0.056599997,-0.14829999,0.1358,-1.2474749,2.2535853,9.585675,-1
23,24,1566439333924,-0.0064999997,-0.050499998,0.08339999599999999,-1.0969371,2.358011,9.525207,-1
24,25,1566439333934,0.13329999,0.0371,0.0801,-1.0020883,2.3991625,9.60275,-1
25,26,1566439333945,0.2501,0.105,0.35119998,-0.8630044,2.459458,9.985152000000001,-1
26,27,1566439333955,0.34219998,0.15179999,0.5729,-0.7569508,2.490573,10.047162,-1
27,28,1566439333965,0.39209998,0.1463,0.5402,-0.74693346,2.485823,9.914311999999999,-1
28,29,1566439333975,0.3155,0.15609999,0.36159998,-0.9109841999999999,2.4911573,9.751593,-1
29,30,1566439333985,0.16319999,0.15359999,0.2624,-1.0346111999999998,2.4666789000000002,9.7234955,-1
30,31,1566439333996,0.024,0.12109999,0.252,-1.0988908000000002,2.4385138,9.715728,-1
31,32,1566439334006,-0.042999998,0.0801,0.2613,-1.0997622,2.3943455,9.773964999999999,-1
32,33,1566439334016,-0.0011999999,0.0508,0.3193,-1.0944854,2.3884366000000004,9.878495,-1
33,34,1566439334026,-0.0321,0.07279999599999999,0.44599998,-1.131969,2.4481479999999998,10.030508,-1
34,35,1566439334037,-0.040599998,0.1638,0.5926,-1.0451745000000001,2.5223489,10.070433999999999,-1
35,36,1566439334047,0.051,0.20449999,0.5828,-1.0123355,2.496999,10.00716,-1
36,37,1566439334057,0.065,0.1849,0.49499997,-1.0688483,2.507275,9.944077499999999,-1
37,38,1566439334067,0.0095999995,0.19399999,0.4662,-1.1151904,2.5140363999999997,9.968833,-1
38,39,1566439334078,-0.028099999,0.1831,0.48619998,-1.142628,2.434788,10.116019,-1
39,40,1566439334088,-0.0865,0.0849,0.6726,-1.2314528,2.3453696,10.186314,-1
40,41,1566439334098,-0.1435,0.017099998999999998,0.7119,-1.33901,2.2936357999999997,10.12277,-1
41,42,1566439334108,-0.2845,-0.050499998,0.6143,-1.4571493999999998,2.259839,10.063452,-1
42,43,1566439334118,-0.3543,-0.0685,0.5854,-1.4401602,2.2583257999999997,10.116584,-1
43,44,1566439334128,-0.3267,-0.066599995,0.6644,-1.3428311000000002,2.2609310000000002,10.367018,-1
44,45,1566439334139,-0.2234,-0.0558,0.8903,-1.2821908000000002,2.304113,10.509837,-1
45,46,1566439334149,-0.1244,-0.028199999,1.0576,-1.1952333,2.3039882,10.479899000000001,-1
46,47,1566439334159,-0.076299995,-0.024999999,1.01,-1.1852353,2.3177116,10.368072,-1
47,48,1566439334169,-0.0682,-0.0166,0.8459,-1.2217133,2.365136,10.18276,-1
48,49,1566439334180,-0.122999996,0.0004,0.5491,-1.2459809,2.3739374,9.978765,-1
49,50,1566439334190,-0.1671,-0.0393,0.3771,-1.2798348999999998,2.3508572999999995,9.841749,-1
50,51,1566439334200,-0.2121,-0.1188,0.313,-1.3322488000000001,2.274166,9.776962,-1
51,52,1566439334211,-0.24939999,-0.2279,0.4547,-1.3491997,2.2055674,9.902984,-1
52,53,1566439334221,-0.2478,-0.25959998,0.5183,-1.3147423,2.2007215,9.949266999999999,-1
53,54,1566439334231,-0.1147,-0.24409999,0.3279,-1.1071556,2.2647232999999996,9.644764,-1
54,55,1566439334242,0.053099997,-0.19999999,0.010799999,-1.0099604,2.3023027999999996,9.361913000000001,-1
55,56,1566439334252,0.1379,-0.1945,-0.39389998,-0.9457863000000001,2.3341072,8.925286999999999,-1
56,57,1566439334262,0.138,-0.21579999,-0.6616,-0.97020715,2.3083074,8.686919999999999,-1
57,58,1566439334272,0.1002,-0.2731,-0.88089997,-1.0374459,2.2879565,8.476403,-1
58,59,1566439334282,0.0618,-0.31759998,-0.9736,-1.0538797,2.249295,8.419881,-1
59,60,1566439334292,0.0805,-0.37,-1.0375999,-1.0271509,2.244679,8.305887,-1
60,61,1566439334302,0.1663,-0.38239998,-1.2293999,-0.9636758,2.2322004,8.130585,-1
61,62,1566439334312,0.24139999,-0.38419998,-1.4314,-0.9045294,2.2214840000000002,7.906544,-1
62,63,1566439334322,0.2455,-0.4233,-1.5850999,-0.91704625,2.1972258,7.788663400000001,-1
