,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566444707254,-0.6155,-0.4549,-0.7061,6.821961999999999,5.8043013,-1.3394506000000002,-1
1,2,1566444707264,-0.6739,-0.52279997,-0.7596,4.123486,0.22944114,10.446122,-1
2,3,1566444707274,0.49519998,0.0352,1.2408999,4.0541496,0.3722792,10.318014,-1
3,4,1566444707284,0.32209998,0.10669999599999999,1.1985999,3.779707,0.36809415,10.268319,-1
4,5,1566444707295,-0.0058999998,0.071499996,1.0969,3.3649929,0.39483258,9.958461999999999,-1
5,6,1566444707305,-0.37469998,0.1064,0.8059,3.0326874,0.6214677,9.454281,-1
6,7,1566444707316,-0.64169997,0.27269998,0.3527,2.96542,0.744568,9.036043,-1
7,8,1566444707326,-0.6762,0.40719998,-0.1558,0.5862347,1.03328,9.5528555,-1
8,9,1566444707336,-3.0023,0.6207,0.4211,0.035616145,1.2418341999999998,9.842477,-1
9,10,1566444707346,-3.2356,0.863,0.45999998,1.0738665,1.2698941000000001,9.630015,-1
10,11,1566444707356,-2.3383,0.7937,0.4362,1.7980359000000001,0.99117076,10.375991,-1
11,12,1566444707366,-1.3916,0.4985,1.3808999,2.0649414,1.3303525,14.508795000000001,-1
12,13,1566444707376,-1.2997,0.8627,5.2883,3.3023894,1.5967218,14.255306,-1
13,14,1566444707386,2.3214,0.5233,2.2209,5.4805956,1.0525295000000001,11.508391,-1
14,15,1566444707397,3.3048,0.0354,1.0095,6.199843,0.7597281,10.504071000000001,-1
15,16,1566444707407,3.3048,0.0354,1.0095,6.362619400000001,0.21490355,10.132482000000001,-1
16,17,1566444707417,2.8838,-0.8537,0.8329,5.9315963,-0.059491124000000006,10.197326,-1
17,18,1566444707427,1.9833,-0.8707,0.7482,4.723644999999999,-0.059625197000000005,10.139512,-1
18,19,1566444707437,1.1766,-0.45899999999999996,0.5926,3.6958237,0.5325854,9.979359,-1
