,Seq,Time,ACCx,ACCy,ACCz,ADGx,ADGy,ADGz,Keydown
0,1,1566467441486,0.0,0.0,0.0,0.0,0.0,0.0,-1
1,2,1566467441496,-0.5104,0.5187,-0.044000000000000004,-0.50467855,3.011877,9.491697,-1
2,3,1566467441506,0.0016999998999999999,-0.011000000000000001,-0.0332,-0.4944314,3.1778047000000003,9.091426,-1
3,4,1566467441516,0.0063,0.1236,-0.2974,-0.45724463,3.2325554,8.976791,-1
4,5,1566467441526,0.1823,0.12079999599999999,-0.26749998,-0.13866258,3.2283895,9.1747055,-1
5,6,1566467441537,0.43199998,0.11669999,-0.0517,0.03268564,3.238474,9.285575999999999,-1
6,7,1566467441547,0.4958,0.1284,0.0077,0.13917974,3.2645419999999996,9.316395,-1
7,8,1566467441557,0.4917,0.1358,0.0288,0.23633644,3.3067467000000006,9.336793,-1
8,9,1566467441567,0.5105,0.14019999,0.0412,0.26061365,3.3059328000000003,9.254891,-1
9,10,1566467441578,0.45569998,0.13939999,-0.1431,0.27580246,3.3129337,8.941894,-1
10,11,1566467441588,0.43379998,0.13599999,-0.37809998,0.3907337,3.3817334000000003,8.854821000000001,-1
11,12,1566467441598,0.5782,0.2728,-0.434,0.599374,3.5418480000000003,8.96822,-1
12,13,1566467441609,0.67689997,0.3692,-0.2802,0.7129837,3.621843,9.153436,-1
13,14,1566467441619,0.67509997,0.3876,-0.0039999996999999995,0.94863063,3.6954693999999995,9.573818,-1
14,15,1566467441629,0.7245,0.4008,0.4132,1.0860098999999999,3.7233476999999997,10.085422,-1
15,16,1566467441639,0.80539995,0.4402,0.8387,1.0686089,3.7492146,10.308159,-1
16,17,1566467441650,0.7527,0.5017,1.0767,0.9348209000000001,3.8595777,10.330003999999999,-1
17,18,1566467441660,0.6069,0.6243,1.0623,0.84249085,3.9261364999999997,10.181678,-1
18,19,1566467441670,0.491,0.71559995,0.8756,0.9005263000000001,4.0823529999999995,9.9526005,-1
19,20,1566467441680,0.5379,0.8438,0.6932,0.955478,4.2160554,9.763621,-1
20,21,1566467441690,0.5692,0.98109996,0.4364,0.94974154,4.4046607,9.554856,-1
21,22,1566467441700,0.5279,1.1106,0.3102,0.90741205,4.615235299999999,9.602358,-1
22,23,1566467441710,0.4649,1.2361,0.37199998,0.74348587,4.7489376,9.518004,-1
23,24,1566467441721,0.2572,1.3894,0.2972,0.45949520000000005,4.892321,9.483624,-1
24,25,1566467441730,-0.0028,1.4649999,0.25149998,0.36399528,5.043883999999999,9.643164,-1
25,26,1566467441740,-0.1591,1.6242,0.44889998,0.33737177,5.283237000000001,9.949259,-1
26,27,1566467441751,-0.20269999,1.9187,0.9079999999999999,0.43532333,5.796372,10.864092999999999,-1
27,28,1566467441761,-0.0837,3.0091,2.4652,0.47701117,6.586133,11.750455,-1
28,29,1566467441771,-0.12239999,3.5899,2.9975998,0.44127053,7.056316000000001,12.169564,-1
29,30,1566467441781,-0.3089,3.8225,3.4724998,0.17722839,7.323844,12.748205,-1
30,31,1566467441792,-0.5559,3.7623,3.9206998,-0.03841257,7.254823700000001,13.082177,-1
31,32,1566467441802,-0.8445,3.3881,4.3529,-0.41747215,6.836566400000001,13.570163,-1
32,33,1566467441812,-1.2836,2.9429,4.6914997000000005,-0.82304037,6.5056205,13.825423,-1
33,34,1566467441823,-1.8105999,2.5066,5.146,-1.491377,6.07227,14.312910999999998,-1
34,35,1566467441833,-2.3555999,1.9635999,5.375499700000001,-2.2000031000000004,5.414095,14.438492000000002,-1
35,36,1566467441843,-2.9176998,1.1341,5.1084,-2.7353945,4.700440400000001,13.977321,-1
36,37,1566467441853,-3.7036998,-0.0815,4.0775,-3.8253023999999995,3.2780068,12.462807000000002,-1
37,38,1566467441863,-4.5066,-1.6294,2.5763,-4.3988767,2.1288762,11.261654,-1
38,39,1566467441873,-4.9279,-3.3623998,1.2879,-4.9010940000000005,0.16449122,9.636239999999999,-1
39,40,1566467441884,-4.9802,-4.9919,0.20629999,-4.9225072999999995,-0.92079085,8.900062,-1
40,41,1566467441894,-4.8810997,-6.1404,-0.0778,-5.002656,-2.0320451,8.794027,-1
41,42,1566467441904,-5.0051,-6.8669,0.40019998,-5.1869135,-2.4625322999999995,9.287137,-1
42,43,1566467441914,-5.0871997,-7.3768997,1.2469,-5.3296175,-2.9763567,10.230969,-1
43,44,1566467441924,-5.0684,-7.8262997,1.9072,-5.439655,-3.321792,10.656122,-1
44,45,1566467441934,-5.1261997,-8.2864,2.1032999,-5.5540785999999995,-3.7963994,10.655251,-1
45,46,1566467441945,-4.9405,-8.6503,1.7426,-5.2593527,-4.0889997000000005,9.907839,-1
46,47,1566467441955,-4.4878,-8.816299,0.99469995,-4.811397599999999,-4.1212067999999995,9.184876,-1
47,48,1566467441965,-3.5774,-8.8238,0.055499997,-4.096393,-4.035839,8.4464655,-1
48,49,1566467441975,-2.5623999,-8.696199,-0.9511,-2.9919095,-3.8039556000000005,7.1868476999999995,-1
49,50,1566467441985,-1.7013999,-8.5511,-1.9325999,-2.0576632,-3.6039248,6.053020500000001,-1
50,51,1566467441995,-0.88089997,-8.406799000000001,-2.7086,-1.4864641,-3.5010793,5.4781537,-1
51,52,1566467442005,-0.3565,-8.3878,-3.2968,-0.926738,-3.3291948,4.8583527,-1
52,53,1566467442015,0.028099999,-8.2407,-3.6508,-0.54842544,-3.0572807999999996,4.613004,-1
53,54,1566467442025,0.6849,-7.8564997000000005,-3.8504998999999995,0.39886445,-2.424359,4.318871499999999,-1
